timestamp,instrument,timeframe,direction,setup_type,entry_price,stop_loss,take_profit_1,take_profit_2,quantity,risk_amount,fees,slippage,funding,realized_pnl,account_balance_change
2026-07-29T03:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,73.71684,73.31556,74.22666,74.5911,26.50906486,9.66,3.89672,1.948357,0.012164,-15.518204,-15.518204
2026-07-29T18:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64367.1675,64037.49132,64781.26302,65078.7717,0.03031141,9.02,3.891156,1.945576,0.006072,-14.860711,-14.860711
2026-07-29T18:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1917.7584,1906.97148,1931.54278,1941.3713,1.01736449,10,3.890174,1.945085,0.006066,-15.840512,-15.840512
2026-07-30T08:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64377.85284,64037.49132,64807.96302,65116.1517,0.03021095,9.31,3.9065,1.953255,0.103755,12.657836,12.657836
2026-07-30T09:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,74.037,73.31556,75.02666,75.7111,26.26142362,17.97,3.898502,1.949254,0.299407,5.670477,5.670477
2026-07-31T01:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1930.86495,1913.35584,1954.71624,1971.2604,1.00917647,16.7,3.878532,1.939262,0.012078,-22.525848,-22.525848
2026-08-01T00:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1867.97352,1858.91448,1879.22828,1887.3538,1.04074069,8.46,3.888258,1.94413,0.297742,-4.079871,-4.079871
2026-08-04T02:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1868.57382,1858.91448,1880.72828,1889.4538,1.03996944,9.07,3.875507,1.937751,0.036351,-14.923884,-14.923884
2026-08-04T02:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,73.806885,73.27572,74.51142,75.0057,26.32897563,13.01,3.87157,1.935782,0.133381,-18.954618,-18.954618
2026-08-04T11:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1867.91349,1858.91448,1879.07828,1887.1438,1.03670786,8.36,3.877777,1.93889,0.042468,0.895933,0.895933
2026-08-05T12:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64502.245005,64162.32996,64931.53006,65239.2101,0.03002469,9.24,3.862151,1.931073,0.012054,-15.043276,-15.043276
2026-08-07T20:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1919.829435,1905.6468,1938.7048,1951.928,1.0071987,13.32,3.861994,1.930996,0.295455,-9.462561,-9.462561
2026-08-08T09:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1917.85845,1905.6468,1933.7798,1945.033,1.00724652,11.33,3.865276,1.932639,0.290256,-2.391577,-2.391577
2026-08-09T06:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1918.928985,1905.6468,1936.4548,1948.778,1.00643521,12.4,3.864246,1.932124,0.296096,-2.4693,-2.4693
2026-08-10T20:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,76.21809,75.43704,77.29444,78.0374,25.33235331,18.82,3.846218,1.923106,0.295025,-19.490495,-19.490495
2026-08-11T19:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1872.785925,1863.44628,1884.45558,1892.8593,1.02888617,8.65,3.869125,1.934567,0.109005,11.380245,11.380245
2026-08-11T20:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63706.8375,63200.06448,64387.40328,64862.3388,0.03026465,14.37,3.857313,1.928657,0.295389,-2.969549,-2.969549
2026-08-12T21:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63521.755005,63200.06448,63924.92828,64214.8738,0.03036072,8.8,3.865044,1.932525,0.244414,3.802454,3.802454
2026-08-13T13:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1890.074565,1884.5814,1895.9529,1900.5015,1.02076787,4.64,3.860689,1.930345,0.051293,-1.877937,-1.877937
2026-08-13T13:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,76.17807,75.6462,76.8807,77.3745,25.32654592,12.51,3.844226,1.92211,0.072382,-18.344967,-18.344967
2026-08-13T14:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63751.849995,63352.40268,64271.37098,64638.9583,0.03024044,11.12,3.842731,1.921363,0.060184,-16.94028,-16.94028
2026-08-14T16:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,75.687825,75.27768,76.20848,76.5808,25.39234064,9.45,3.832412,1.916204,0.047946,-15.250638,-15.250638
2026-08-14T16:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63021.495,62590.61208,63589.08188,63988.4698,0.0304958,12.18,3.845213,1.922608,0.288223,-2.701811,-2.701811
2026-08-14T16:00:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1882.490775,1865.7072,1905.3142,1921.157,1.02092986,16.17,3.843994,1.921997,0.28811,-3.920358,-3.920358
2026-08-15T10:30:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,75.347655,74.80956,76.06066,76.5611,25.44889136,12.74,3.840743,1.920373,0.294186,1.579365,1.579365
2026-08-15T11:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63076.5225,62590.61208,63726.58188,64180.9698,0.03038296,13.81,3.833534,1.916768,0.293448,-3.495531,-3.495531
2026-08-15T13:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1884.952005,1865.7072,1911.4642,1929.767,1.01676348,18.61,3.827699,1.913849,0.293287,-9.522334,-9.522334
2026-08-16T02:45:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,75.687825,75.27768,76.20848,76.5808,25.30427374,9.42,3.81912,1.909558,0.167082,-15.317047,-15.317047
2026-08-16T03:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63152.86065,62664.72444,63806.16334,64262.7389,0.03030523,13.84,3.825397,1.912699,0.292616,-6.444681,-6.444681
2026-08-16T09:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1882.790925,1869.72108,1900.04338,1912.1723,1.01541129,12.32,3.809394,1.904694,0.29281,-18.32274,-18.32274
2026-08-17T01:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63150.989715,62750.13144,63673.37784,64042.6764,0.03020071,11.15,3.828907,1.914458,0.206651,10.462376,10.462376
2026-08-17T23:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1913.506275,1904.85996,1924.08506,1931.7751,0.99721623,7.67,3.806787,1.903392,0.047608,-13.426419,-13.426419
2026-08-17T21:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,76.027995,75.6462,76.5057,76.8495,25.11309238,8.63,3.808058,1.904027,0.119122,-14.465088,-14.465088
2026-08-19T09:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64448.08794,63787.43556,65358.54666,65986.9911,0.02953877,18.56,3.84264,1.921329,0.137459,31.225523,31.225523
2026-08-23T09:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,76618.29,76202.35644,77146.46534,77524.1089,0.02492832,9.41,3.83684,1.918425,0.077876,12.994898,12.994898
2026-08-26T11:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2463.33105,2444.81148,2488.03278,2505.3213,0.77641431,13.42,3.809803,1.904898,0.023898,-19.161654,-19.161654
2026-08-28T06:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2502.2505,2478.81492,2534.27762,2556.4627,0.76280581,16.92,3.79864,1.899316,0.184551,-22.805415,-22.805415
2026-08-30T03:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78230.0955,77805.528,78769.208,79154.68,0.02434061,9.38,3.821141,1.910574,0.253024,8.730595,8.730595
